point_id,latitude,longitude,arrondissement,heat_class,heat_label,total_features,collisions_n,collisions_victimes,collisions_morts,collisions_blesses_graves,collisions_blesses_legers,collisions_gravite_pire,permis_n,permis_logements,permis_types_top,entraves_n,entraves_actives,entraves_raisons_top,entraves_fin_derniere,arbres_n,arbres_especes_top,arbres_dhp_moyen,emplacements_arbres_n
P00622,45.5102,-73.5562,Ville-Marie,5,Îlot de chaleur,4,0,0,0,0,0,,0,0,,0,0,,,2,Amelanchier laevis(2),5,2
P00623,45.5102,-73.5554,Ville-Marie,5,Îlot de chaleur,4,0,0,0,0,0,,0,0,,0,0,,,2,Orme Morton (Accolade TM)(2),30,2
P00624,45.5102,-73.555,Ville-Marie,4,Température plus chaude que la moyenne (à risque),6,0,0,0,0,0,,0,0,,1,1,Entretien(1),2026-06-05,2,Orme Morton (Accolade TM)(2),5,3
P00625,45.51,-73.5788,Le Plateau-Mont-Royal,5,Îlot de chaleur,16,14,1,0,0,1,Léger,2,0,Transformation combinée(2),0,0,,,0,,,0
P00626,45.51,-73.5784,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Érable de Norvège(1),40,1
P00627,45.51,-73.5782,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Érable de Norvège(1),28,1
P00628,45.51,-73.578,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
P00629,45.51,-73.5778,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),1,0,0,0,0,0,,1,0,T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
P00630,45.51,-73.577,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Érable de Norvège(1),25,1
P00631,45.51,-73.5768,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),6,0,0,0,0,0,,0,0,,0,0,,,3,Érable de Norvège(2); Févier Skyline(1),21.3,3
P00632,45.51,-73.5766,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,4,0,0,0,0,0,,0,0,,0,0,,,2,Orme Homestead(1); Févier Skyline(1),15.5,2
P00633,45.51,-73.575,,3,Température plus proche de la moyenne,2,2,0,0,0,0,Dommages matériels,0,0,,0,0,,,0,,,0
P00634,45.51,-73.5748,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,32,0,0,0,0,0,,32,0,Transformation combinée(23); Autorisation d'Abattage(5); T1:Transformation ext/PA/PIIA(4),0,0,,,0,,,0
P00635,45.51,-73.5746,Le Plateau-Mont-Royal,3,Température plus proche de la moyenne,15,13,3,1,0,2,Mortel,2,0,Transformation combinée(2),0,0,,,0,,,0
P00636,45.51,-73.5742,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),6,0,0,0,0,0,,6,0,Transformation combinée(3); T2:Transf ext/PA  non requis(1); T1:Transformation ext/PA/PIIA(1),0,0,,,0,,,0
P00637,45.51,-73.5734,Le Plateau-Mont-Royal,4,Température plus chaude que la moyenne (à risque),2,0,0,0,0,0,,0,0,,0,0,,,1,Frêne de Pennsylvanie Patmore(1),31,1
